2025-10-01T12:00:00Z,New call for proposals: mobile application for professional lorry drivers to rate points of interest,"The Commission calls for proposals to develop a mobile application where professional lorry drivers can rate their main points of interest on the road, from rest and parking facilities to areas for loading and unloading their cargo.",News article,/news-events/news/new-call-proposals-mobile-application-professional-lorry-drivers-rate-points-interest-2025-10-01_en
2025-10-01T12:00:00Z,"EU progress on cycling – greener, healthier, more inclusive mobility","The Commission adopted its first progress report on the European declaration on cycling, showing strong momentum across the EU to boost cycling infrastructure and policies. The report confirms cycling’s role as a clean, affordable and health-boosting way to travel.",News article,/news-events/news/eu-progress-cycling-greener-healthier-more-inclusive-mobility-2025-10-01_en
2025-09-29T12:00:00Z,"EU Urban Mobility Days to take place in Vilnius: three days of sharing innovation ideas, best practices, and sustainable mobility solutions","From 30 September to 2 October, EU Urban Mobility Days will take place in Vilnius.",News article,/news-events/news/eu-urban-mobility-days-take-place-vilnius-three-days-sharing-innovation-ideas-best-practices-and-2025-09-29_en
2025-09-25T12:00:00Z,EU and Ukraine extend road transport agreement until 31 March 2027 ,The EU and Ukraine decided today to extend the validity of their current road transport agreement.,News article,/news-events/news/eu-and-ukraine-extend-road-transport-agreement-until-31-march-2027-2025-09-25_en
2025-09-25T12:00:00Z,EU and ICAO mark milestone in sustainable aviation fuels project,"A special ceremony was held during the 42nd ICAO Assembly, to mark the completion of three EU funded studies under the International Civil Aviation Organization’s capacity building and training programme for sustainable aviation fuels (ACT-SAF).",News article,/news-events/news/eu-and-icao-mark-milestone-sustainable-aviation-fuels-project-2025-09-25_en
2025-09-24T12:00:00Z,Reducing cost of high-speed rail constructions,How can we reduce high-speed rail constructions costs along the nine corridors on the trans-European transport network?,News article,/news-events/news/reducing-cost-high-speed-rail-constructions-2025-09-24_en
2025-09-24T12:00:00Z,Solidarity Lanes: Latest figures – August 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-august-2025-2025-09-24_en
2025-09-22T12:00:00Z,EU and ICAO strengthen cooperation ahead of the 42nd ICAO Assembly,"The EU and ICAO have reaffirmed their strong commitment to advancing global aviation safety, security and sustainability during the 9th EU-ICAO Joint Committee meeting, held on 22 September at ICAO Headquarters in Montréal.",News article,/news-events/news/eu-and-icao-strengthen-cooperation-ahead-42nd-icao-assembly-2025-09-22_en
2025-09-19T12:00:00Z,EU and Moldova extend road transport agreement,The agreement aims at helping Moldova access world markets by facilitating transit through EU countries and further developing its links with the EU market.,News article,/news-events/news/eu-and-moldova-extend-road-transport-agreement-2025-09-19_en
2025-09-17T12:00:00Z,Have your say on military mobility challenges,"To improve the movement of military troops, equipment and assets across the European Union and beyond, the Commission would like to hear your views on the military mobility package.",News article,/news-events/news/have-your-say-military-mobility-challenges-2025-09-17_en
2025-09-16T12:00:00Z,European Mobility Week 2025 promotes inclusive and sustainable mobility for everyone,"From 16 to 22 September, more than 2,500 towns and cities will celebrate European Mobility Week.",News article,/news-events/news/european-mobility-week-2025-promotes-inclusive-and-sustainable-mobility-everyone-2025-09-16_en
2025-09-16T12:00:00Z,EU Ministers commit to faster truck recharging deployment,"Commissioner for Transport and Tourism Apostolos Tzitzikostas presents the Clean Transport Corridor Initiative, which seeks to accelerate the deployment of heavy-duty vehicles recharging infrastructure across key freight corridors.",News article,/news-events/news/eu-ministers-commit-faster-truck-recharging-deployment-2025-09-16_en
2025-09-15T12:00:00Z,New coordinators appointed to drive completion of Europe’s trans-European transport network,"Three European Coordinators have been designated to help complete the trans-European transport network (TEN-T), a vast infrastructure network of railways, roads, and inland waterways connecting the European Union.",News article,/news-events/news/new-coordinators-appointed-drive-completion-europes-trans-european-transport-network-2025-09-15_en
2025-09-15T12:00:00Z,Commission launches new initiatives with industry to boost Europe's Automotive leadership,"President Ursula von der Leyen chaired the third Strategic Dialogue on the Future of the European Automotive Industry, bringing together the European automotive industry, social partners, and other stakeholders in Brussels.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2090
2025-09-10T12:00:00Z,Job vacancy (establishment of reserve list) within EU-RAIL for the position of System Pillar Programme Manager (CA FGIV),"The Europe's Rail Joint Undertaking (EU-RAIL) is establishing a reserve list for a post of System Pillar Programme Manager (Contract Agent, Grade FGIV)",News article,https://rail-research.europa.eu/about-europes-rail/jobs/
2025-09-09T12:00:00Z,Decarbonising aviation: European Commission supports development of sustainable aviation fuels in Africa,"In alignment with the EU Green Deal and the global commitment to achieving net zero emissions in international aviation by 2050, the Commission is fostering the global development and production of sustainable aviation fuels (SAFs) to decarbonise air transport.",News article,/news-events/news/decarbonising-aviation-european-commission-supports-development-sustainable-aviation-fuels-africa-2025-09-09_en
2025-09-05T12:00:00Z,New EU-funded railway line brings Ukraine even closer to EU,"Ukraine opened its first railway line based on the European Union standard for track width, marking a significant step in deepening the country’s transport integration with the EU.",News article,/news-events/news/new-eu-funded-railway-line-brings-ukraine-even-closer-eu-2025-09-05_en
2025-09-02T12:00:00Z,Commission announces shortlist for the 2026 European Capital & Green Pioneer of Smart Tourism Awards,The European Commission revealed the finalists for the 2026 European Capital and Green Pioneer of Smart Tourism competitions,News article,https://smart-tourism-capital.ec.europa.eu/press/news/european-commission-announces-shortlist-2026-european-capital-green-pioneer-smart-tourism-awards-2025-09-02_en
2025-09-01T12:00:00Z,Commission welcomes Code of Conduct for reliable online reviews for tourism accommodation,"Several stakeholders of the EU tourism ecosystem took an important step to ensure trustworthy and reliable online reviews and ratings of hotels and other types of tourism accommodation, by endorsing the ‘Code of Conduct for Online Ratings and Reviews for Tourism Accommodation’.",News article,/news-events/news/commission-welcomes-code-conduct-reliable-online-reviews-tourism-accommodation-2025-09-01_en
2025-08-27T12:00:00Z,Boosting tourism and tradition: new call for proposals to promote handicraft products and support craftsmen ,The European Commission is offering a special opportunity through a call for proposals aimed at supporting craftsmen across the EU.,News article,/news-events/news/boosting-tourism-and-tradition-new-call-proposals-promote-handicraft-products-and-support-craftsmen-2025-08-27_en
2025-08-20T12:00:00Z,Solidarity Lanes: Latest figures – July 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-july-2025-2025-08-20_en
2025-08-19T12:00:00Z,Stronger and more unified  enforcement of EU rules in international road transport as smart tachograph retrofit phase concludes for heavy-duty vehicles,"As of today, all heavy-duty vehicles registered in the EU and operating in Member States other than their Member State of registration must be fitted with a smart tachograph (version 2). ",News article,/news-events/news/stronger-and-more-unified-enforcement-eu-rules-international-road-transport-smart-tachograph-2025-08-19_en
2025-08-13T12:00:00Z,Commission takes step to update air service rules,"The European Commission is inviting citizens, travellers and stakeholders to express their views via a public consultation on the revision of the Air Services Regulation – the framework governing access to the EU internal market for aviation, and operations within it.",News article,/news-events/news/commission-takes-step-update-air-service-rules-2025-08-13_en
2025-08-05T12:00:00Z,Commission seeks feedback on EU airport rules,"The European Commission has today launched a public consultation to assess the effectiveness of three pieces of EU legislation governing access to and the pricing of services at airports. Citizens, professionals and experts alike are invited to give feedback.",News article,/news-events/news/commission-seeks-feedback-eu-airport-rules-2025-08-05_en
2025-08-05T12:00:00Z,,"The Europe's Rail Joint Undertaking (EU-RAIL), based in Brussels is establishing a reserve list for a post of communication and ex-post audit officer (temporary agent, grade AD5)",News article,
2025-08-04T12:00:00Z,Solidarity Lanes: Latest figures – June 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-june-2025-2025-08-04_en
2025-07-31T12:00:00Z,"More online travel agencies commit to refund within 14 days for cancelled flights, following a dialogue with the Commission and consumer authorities","Following a dialogue with the European Commission and the Consumer Protection Cooperation Network of national consumer authorities, Expedia and Lastminute.com have committed to better inform consumers of their rights and ensure they receive ticket refunds within 14 days.",News article,https://european-union.europa.eu/more-online-travel-agencies-commit-refund-cancelled-flights-within-14-days-2025-07-31_en
