date,title,desc,type,link
2025-09-15 12:00:00+00:00,New coordinators appointed to drive completion of Europe’s trans-European transport network,"Three European Coordinators have been designated to help complete the trans-European transport network (TEN-T), a vast infrastructure network of railways, roads, and inland waterways connecting the European Union.",News article,/news-events/news/new-coordinators-appointed-drive-completion-europes-trans-european-transport-network-2025-09-15_en
2025-09-10 12:00:00+00:00,Job vacancy (establishment of reserve list) within EU-RAIL for the position of System Pillar Programme Manager (CA FGIV),"The Europe's Rail Joint Undertaking (EU-RAIL) is establishing a reserve list for a post of System Pillar Programme Manager (Contract Agent, Grade FGIV)",News article,https://rail-research.europa.eu/about-europes-rail/jobs/
2025-09-09 12:00:00+00:00,Decarbonising aviation: European Commission supports development of sustainable aviation fuels in Africa,"In alignment with the EU Green Deal and the global commitment to achieving net zero emissions in international aviation by 2050, the Commission is fostering the global development and production of sustainable aviation fuels (SAFs) to decarbonise air transport.",News article,/news-events/news/decarbonising-aviation-european-commission-supports-development-sustainable-aviation-fuels-africa-2025-09-09_en
2025-09-05 12:00:00+00:00,New EU-funded railway line brings Ukraine even closer to EU,"Ukraine opened its first railway line based on the European Union standard for track width, marking a significant step in deepening the country’s transport integration with the EU.",News article,/news-events/news/new-eu-funded-railway-line-brings-ukraine-even-closer-eu-2025-09-05_en
2025-09-02 12:00:00+00:00,Commission announces shortlist for the 2026 European Capital & Green Pioneer of Smart Tourism Awards,The European Commission revealed the finalists for the 2026 European Capital and Green Pioneer of Smart Tourism competitions,News article,https://smart-tourism-capital.ec.europa.eu/press/news/european-commission-announces-shortlist-2026-european-capital-green-pioneer-smart-tourism-awards-2025-09-02_en
2025-09-01 12:00:00+00:00,Commission welcomes Code of Conduct for reliable online reviews for tourism accommodation,"Several stakeholders of the EU tourism ecosystem took an important step to ensure trustworthy and reliable online reviews and ratings of hotels and other types of tourism accommodation, by endorsing the ‘Code of Conduct for Online Ratings and Reviews for Tourism Accommodation’.",News article,/news-events/news/commission-welcomes-code-conduct-reliable-online-reviews-tourism-accommodation-2025-09-01_en
2025-08-27 12:00:00+00:00,Boosting tourism and tradition: new call for proposals to promote handicraft products and support craftsmen ,The European Commission is offering a special opportunity through a call for proposals aimed at supporting craftsmen across the EU.,News article,/news-events/news/boosting-tourism-and-tradition-new-call-proposals-promote-handicraft-products-and-support-craftsmen-2025-08-27_en
2025-08-20 12:00:00+00:00,Solidarity Lanes: Latest figures – July 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-july-2025-2025-08-20_en
2025-08-19 12:00:00+00:00,Stronger and more unified  enforcement of EU rules in international road transport as smart tachograph retrofit phase concludes for heavy-duty vehicles,"As of today, all heavy-duty vehicles registered in the EU and operating in Member States other than their Member State of registration must be fitted with a smart tachograph (version 2). ",News article,/news-events/news/stronger-and-more-unified-enforcement-eu-rules-international-road-transport-smart-tachograph-2025-08-19_en
2025-08-13 12:00:00+00:00,Commission takes step to update air service rules,"The European Commission is inviting citizens, travellers and stakeholders to express their views via a public consultation on the revision of the Air Services Regulation – the framework governing access to the EU internal market for aviation, and operations within it.",News article,/news-events/news/commission-takes-step-update-air-service-rules-2025-08-13_en
2025-08-05 12:00:00+00:00,Commission seeks feedback on EU airport rules,"The European Commission has today launched a public consultation to assess the effectiveness of three pieces of EU legislation governing access to and the pricing of services at airports. Citizens, professionals and experts alike are invited to give feedback.",News article,/news-events/news/commission-seeks-feedback-eu-airport-rules-2025-08-05_en
2025-08-05 12:00:00+00:00,Vacancy notice: communication and ex-post audit officer,"The Europe's Rail Joint Undertaking (EU-RAIL), based in Brussels is establishing a reserve list for a post of communication and ex-post audit officer (temporary agent, grade AD5)",News article,https://aa293.referrals.selectminds.com/eu-rail/jobs/communication-and-ex-post-audit-officer-148
2025-08-04 12:00:00+00:00,Solidarity Lanes: Latest figures – June 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-june-2025-2025-08-04_en
2025-07-31 12:00:00+00:00,"More online travel agencies commit to refund within 14 days for cancelled flights, following a dialogue with the Commission and consumer authorities","Following a dialogue with the European Commission and the Consumer Protection Cooperation Network of national consumer authorities, Expedia and Lastminute.com have committed to better inform consumers of their rights and ensure they receive ticket refunds within 14 days.",News article,https://european-union.europa.eu/more-online-travel-agencies-commit-refund-cancelled-flights-within-14-days-2025-07-31_en
2025-07-30 12:00:00+00:00,Commission publishes new guidance on sustainable rural mobility and ecotourism ,"Today the Commission publishes four new guidance documents, developed under the SMARTA-NET Project ‘Sustainable rural mobility in support of ecotourism’. ",News article,/news-events/news/commission-publishes-new-guidance-sustainable-rural-mobility-and-ecotourism-2025-07-30_en
2025-07-30 12:00:00+00:00,European Commission adopts 9th report on development of the rail market ,The ninth Rail Market Monitoring Report (RMMS) analyses developments in the EU rail market from 2018 to 2022. ,News article,/news-events/news/european-commission-adopts-9th-report-development-rail-market-2025-07-30_en
2025-07-29 12:00:00+00:00,Portugal signs concession and first tranche of financing for new Lisbon-Porto high-speed line,"Backed by €813 million from the Connecting Europe Facility, the Lisbon-Porto high speed railway will shorten travel time between the two cities from approximately 3 hours to 1 hour 15 minutes, once completed.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1931
2025-07-28 12:00:00+00:00,Commission launches call for evidence on revision to Rail Passenger Rights,The European Commission is requesting input from citizens and stakeholders on a planned targeted revision of the Rail Passenger Rights Regulation.,News article,/news-events/news/commission-launches-call-evidence-revision-rail-passenger-rights-2025-07-28_en
2025-07-23 12:00:00+00:00,Sustainable EU tourism: new communication toolkit available,Ready to make tourism in your destination more sustainable? The Sustainable EU Tourism initiative is here to support you.,News article,/news-events/news/sustainable-eu-tourism-new-communication-toolkit-available-2025-07-23_en
2025-07-17 12:00:00+00:00,July infringements package: key decisions,July infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_1628
2025-07-17 12:00:00+00:00,Commissioner Tzitzikostas hosts dialogues on cutting transport emissions,"Commissioner for Sustainable Transport and Tourism, Apostolos Tzitzikostas, will host two dialogues to advance the decarbonisation of EU transport.",News article,/news-events/news/commissioner-tzitzikostas-hosts-dialogues-cutting-transport-emissions-2025-07-17_en
